Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Brass: Birmingham,8.423,8.61,40965,139.98,2018,3.89,2,4,60,120,14,Strategy,N/A
Pandemic Legacy: Season 1,8.388,8.53,51533,40.81,2015,2.83,2,4,60,60,13,Strategy,Thematic
Gloomhaven,8.378,8.61,59743,211.00,2017,3.90,1,4,60,120,14,Strategy,Thematic
Ark Nova,8.315,8.53,35141,N/A,2021,3.73,1,4,90,150,14,Strategy,N/A
Twilight Imperium: Fourth Edition,8.242,8.61,21750,131.99,2017,4.31,3,6,240,480,14,Strategy,Thematic
Terraforming Mars,8.224,8.37,92815,64.00,2016,3.26,1,5,120,120,12,Strategy,N/A
Dune: Imperium,8.201,8.42,38103,54.95,2020,3.03,1,4,60,120,14,Strategy,N/A
Gloomhaven: Jaws of the Lion,8.196,8.48,30802,37.17,2020,3.63,1,4,30,120,14,Strategy,Thematic
War of the Ring: Second Edition,8.179,8.53,19791,78.91,2011,4.20,2,4,150,180,13,Thematic,Wargames
Star Wars: Rebellion,8.169,8.42,30728,N/A,2016,3.74,2,4,180,240,14,Thematic,N/A
Spirit Island,8.151,8.35,46554,48.27,2017,4.06,1,4,90,120,13,Strategy,N/A
Gaia Project,8.132,8.4,25445,88.99,2017,4.40,1,4,60,150,12,Strategy,N/A
Through the Ages: A New Story of Civilization,8.079,8.31,30283,69.95,2015,4.43,2,4,120,120,14,Strategy,N/A
Twilight Struggle,8.078,8.25,47358,53.32,2005,3.60,2,2,120,180,13,Strategy,Wargames
Great Western Trail,8.055,8.22,39276,44.95,2016,3.71,2,4,75,150,12,Strategy,N/A
Scythe,8.009,8.16,78873,67.33,2016,3.44,1,5,90,115,14,Strategy,N/A
The Castles of Burgundy,8.007,8.13,59176,87.78,2011,2.99,2,4,30,90,12,Strategy,N/A
7 Wonders Duel,7.974,8.1,87996,21.99,2015,2.23,2,2,30,30,10,Strategy,N/A
Eclipse: Second Dawn for the Galaxy,7.968,8.49,11673,153.75,2020,3.65,2,6,60,200,14,Strategy,N/A
Brass: Lancashire,7.965,8.19,23957,67.97,2007,3.86,2,4,60,120,14,Strategy,N/A
Nemesis,7.96,8.29,27710,181.16,2018,3.44,1,5,90,180,12,Thematic,N/A
Concordia,7.95,8.1,38409,50.83,2013,3.00,2,5,100,100,13,Strategy,N/A
A Feast for Odin,7.948,8.18,26449,99.99,2016,3.86,1,4,30,120,12,Strategy,N/A
Clank! Legacy: Acquisitions Incorporated,7.945,8.56,8506,89.99,2019,2.72,2,4,90,120,13,Thematic,N/A
Wingspan,7.919,8.07,83875,47.69,2019,2.46,1,5,40,70,10,Family,Strategy
Terra Mystica,7.914,8.08,46567,59.97,2012,3.97,2,5,60,150,12,Strategy,N/A
Arkham Horror: The Card Game,7.908,8.14,40908,23.90,2016,3.53,1,2,60,120,14,Customizable,Thematic
Lost Ruins of Arnak,7.89,8.08,38163,39.99,2020,2.90,1,4,30,120,12,Family,Strategy
Root,7.886,8.08,46164,49.99,2018,3.78,2,4,60,90,10,Strategy,Wargames
Orléans,7.875,8.06,29794,54.28,2014,3.03,2,4,90,90,12,Strategy,N/A
Great Western Trail: Second Edition,7.875,8.39,9867,50.00,2021,3.73,1,4,75,150,12,Strategy,N/A
Everdell,7.862,8.04,48397,60.00,2018,2.81,1,4,40,80,13,Family,Strategy
Mage Knight Board Game,7.86,8.09,32421,63.66,2011,4.35,1,4,60,240,14,Strategy,Thematic
Viticulture Essential Edition,7.852,8.0,45660,48.62,2015,2.89,1,6,45,90,13,Strategy,N/A
Barrage,7.848,8.18,15837,N/A,2019,4.10,1,4,60,120,14,Strategy,N/A
The Crew: Mission Deep Sea,7.843,8.2,13965,14.99,2021,2.04,2,5,20,20,10,Family,Strategy
Too Many Bones,7.825,8.34,11499,N/A,2017,3.85,1,4,60,120,12,Strategy,Thematic
Food Chain Magnate,7.816,8.08,19177,101.99,2015,4.21,2,5,120,240,14,Strategy,N/A
Pax Pamir: Second Edition,7.804,8.23,12163,90.00,2019,3.84,1,5,45,120,13,Strategy,N/A
Marvel Champions: The Card Game,7.798,8.13,21669,41.99,2019,2.92,1,4,45,90,14,Customizable,N/A
Puerto Rico,7.791,7.93,69684,99.95,2002,3.27,3,5,90,150,12,Strategy,N/A
Underwater Cities,7.79,8.07,17929,62.15,2018,3.61,1,4,80,150,12,Strategy,N/A
Caverna: The Cave Farmers,7.777,7.96,33662,75.37,2013,3.78,1,7,30,210,12,Strategy,N/A
Blood Rage,7.771,7.94,44927,89.72,2015,2.87,2,4,60,90,14,Strategy,N/A
Cascadia,7.765,7.97,30111,32.90,2021,1.84,1,4,30,45,10,Abstract,Family
Anachrony,7.763,8.08,17397,N/A,2017,4.02,1,4,30,120,15,Strategy,N/A
On Mars,7.762,8.21,11548,112.49,2020,4.67,1,4,90,150,14,Strategy,N/A
Agricola,7.761,7.89,71153,67.59,2007,3.64,1,5,30,150,12,Strategy,N/A
Crokinole,7.746,8.01,16799,170.00,1876,1.23,2,4,30,30,8,Family,N/A
Pandemic Legacy: Season 0,7.741,8.43,6779,69.90,2020,3.14,2,4,45,60,14,Strategy,Thematic
Frosthaven,7.741,8.87,5306,249.95,2022,4.32,1,4,30,120,14,Strategy,Thematic
Sleeping Gods,7.735,8.28,9657,92.10,2021,3.23,1,4,60,1200,13,Thematic,N/A
Pandemic Legacy: Season 2,7.735,8.05,16190,53.99,2017,3.25,2,4,60,60,14,Strategy,Thematic
Kanban EV,7.731,8.44,6590,124.99,2020,4.32,1,4,60,180,14,Strategy,N/A
Mansions of Madness: Second Edition,7.729,7.96,34502,89.99,2016,2.67,1,5,120,180,14,Thematic,N/A
Maracaibo,7.724,8.06,14886,43.61,2019,3.91,1,4,30,120,12,Strategy,N/A
Lisboa,7.721,8.2,10327,139.75,2017,4.59,1,4,60,120,12,Strategy,N/A
Tzolk'in: The Mayan Calendar,7.714,7.87,37867,48.98,2012,3.67,2,4,90,90,13,Strategy,N/A
Power Grid,7.71,7.82,63731,42.12,2004,3.26,2,6,120,120,12,Strategy,N/A
Heat: Pedal to the Metal,7.71,8.12,12728,132.00,2022,2.17,1,6,30,60,10,Family,N/A
Clans of Caledonia,7.691,7.95,19610,N/A,2017,3.46,1,4,30,120,12,Strategy,N/A
The Quacks of Quedlinburg,7.691,7.83,44719,39.99,2018,1.95,2,4,45,45,10,Family,N/A
The Crew: The Quest for Planet Nine,7.687,7.84,38293,14.99,2019,1.96,2,5,20,20,10,Family,Strategy
Le Havre,7.687,7.85,30735,N/A,2008,3.73,1,5,30,150,12,Strategy,N/A
Paladins of the West Kingdom,7.686,8.0,16362,54.99,2019,3.71,1,4,90,120,12,Strategy,N/A
Star Wars: Imperial Assault,7.683,7.97,24025,109.98,2014,3.30,1,5,60,120,14,Thematic,N/A
The Gallerist,7.683,8.03,13782,129.95,2015,4.26,1,4,60,150,13,Strategy,N/A
Mechs vs. Minions,7.674,7.98,16992,N/A,2016,2.43,2,4,60,120,14,Strategy,Thematic
Grand Austria Hotel,7.669,7.93,19282,63.65,2015,3.22,2,4,60,120,12,Strategy,N/A
Kingdom Death: Monster,7.662,8.51,9314,849.00,2015,4.27,1,4,60,180,17,Thematic,N/A
Android: Netrunner,7.659,7.88,29584,N/A,2012,3.40,2,2,45,45,14,Customizable,N/A
Cthulhu: Death May Die,7.659,8.17,10547,87.99,2019,2.44,1,5,90,120,14,Thematic,N/A
Azul,7.649,7.76,83071,21.70,2017,1.76,2,4,30,45,8,Abstract,Family
Race for the Galaxy,7.634,7.75,53946,27.43,2007,2.99,2,4,30,60,12,Strategy,N/A
Agricola (Revised Edition),7.634,7.96,16360,67.59,2016,3.47,1,4,30,120,12,Strategy,N/A
Aeon's End,7.632,7.93,19056,51.34,2016,2.80,1,4,60,60,14,Strategy,N/A
Eclipse: New Dawn for the Galaxy,7.631,7.84,28071,N/A,2011,3.70,2,6,60,180,14,Strategy,N/A
Five Tribes,7.629,7.78,40058,67.59,2014,2.85,2,4,40,80,13,Strategy,N/A
Clank!: A Deck-Building Adventure,7.627,7.79,40024,53.28,2016,2.22,2,4,30,60,12,Family,Strategy
Through the Ages: A Story of Civilization,7.611,7.85,19136,N/A,2006,4.17,2,4,120,120,12,Strategy,N/A
Fields of Arle,7.61,8.04,10456,N/A,2014,3.86,1,2,60,120,13,Strategy,N/A
Teotihuacan: City of Gods,7.609,7.88,18956,49.95,2018,3.78,1,4,90,120,14,Strategy,N/A
Beyond the Sun,7.6,7.96,12595,61.25,2020,3.13,2,4,60,120,14,Strategy,N/A
Obsession,7.598,8.15,8677,N/A,2018,3.11,1,4,30,90,14,Strategy,Thematic
Lords of Waterdeep,7.597,7.73,53911,34.99,2012,2.45,2,5,60,120,12,Strategy,N/A
The Voyages of Marco Polo,7.591,7.8,24220,N/A,2015,3.19,2,4,40,100,12,Strategy,N/A
Robinson Crusoe: Adventures on the Cursed Island,7.591,7.76,41968,48.95,2012,3.81,1,4,60,120,14,Thematic,N/A
Dominant Species,7.59,7.82,20608,73.40,2010,4.04,2,6,120,240,14,Strategy,N/A
7 Wonders,7.585,7.69,100867,40.00,2010,2.32,2,7,30,30,10,Family,Strategy
The Search for Planet X,7.567,7.99,10317,27.51,2020,2.37,1,4,60,75,13,Strategy,N/A
Tainted Grail: The Fall of Avalon,7.566,8.12,11497,144.36,2019,3.34,1,4,60,120,14,Thematic,N/A
El Grande,7.555,7.73,26985,N/A,1995,3.04,2,5,60,120,12,Strategy,N/A
The 7th Continent,7.554,7.86,21627,69.00,2017,2.90,1,4,5,1000,14,Thematic,N/A
Architects of the West Kingdom,7.553,7.75,27219,50.93,2018,2.75,1,5,60,80,12,Strategy,N/A
Battlestar Galactica: The Board Game,7.544,7.73,35971,N/A,2008,3.25,3,6,120,180,14,Thematic,N/A
Keyflower,7.537,7.73,22442,55.95,2012,3.34,2,6,90,120,12,Strategy,N/A
Decrypto,7.537,7.77,20435,24.99,2018,1.81,3,8,15,45,12,Party,N/A
Inis,7.534,7.82,18773,72.79,2016,2.89,2,4,60,90,14,Strategy,N/A
Caylus,7.532,7.72,28829,84.51,2005,3.80,2,5,60,150,12,Strategy,N/A
Raiders of the North Sea,7.531,7.75,22825,48.29,2015,2.55,2,4,60,80,12,Strategy,N/A
Mombasa,7.526,7.86,12999,N/A,2015,3.90,2,4,75,150,12,Strategy,N/A
Dominion: Intrigue,7.525,7.69,33201,32.99,2009,2.41,2,6,30,30,13,Strategy,N/A
Trickerion: Legends of Illusion,7.524,7.97,10062,70.00,2015,4.25,2,4,60,180,14,Strategy,N/A
Tigris & Euphrates,7.523,7.7,28156,N/A,1997,3.50,2,4,90,90,12,Strategy,N/A
Troyes,7.522,7.72,22756,54.99,2010,3.46,1,4,90,90,12,Strategy,N/A
Lorenzo il Magnifico,7.521,7.85,13218,49.95,2016,3.29,2,4,60,120,12,Strategy,N/A
Eldritch Horror,7.521,7.76,35293,55.99,2013,3.32,1,8,120,240,14,Thematic,N/A
The Lord of the Rings: Journeys in Middle-Earth,7.518,7.93,15352,97.99,2019,2.65,1,5,60,120,14,Thematic,N/A
Twilight Imperium: Third Edition,7.51,7.8,19172,178.95,2005,4.26,3,6,180,240,14,Strategy,Thematic
Concordia Venus,7.499,8.29,5079,64.51,2018,3.02,2,6,60,120,12,Strategy,N/A
Russian Railroads,7.499,7.74,17537,N/A,2013,3.40,2,4,120,120,13,Strategy,N/A
Patchwork,7.498,7.6,62383,29.26,2014,1.60,2,2,15,30,8,Abstract,Family
Trajan,7.493,7.75,17225,109.99,2011,3.65,2,4,60,120,12,Strategy,N/A
Rising Sun,7.486,7.78,20371,99.99,2018,3.30,3,5,90,120,14,Strategy,N/A
Aeon's End: War Eternal,7.484,8.29,5383,34.00,2017,2.92,1,4,60,60,14,Strategy,N/A
Dominion,7.483,7.6,88555,36.29,2008,2.35,2,4,30,30,13,Strategy,N/A
Carnegie,7.48,8.04,7480,57.88,2022,3.82,1,4,90,120,12,Strategy,N/A
Age of Steam,7.471,7.84,10796,N/A,2002,3.88,1,6,120,120,13,Strategy,N/A
The Isle of Cats,7.471,7.73,19657,34.99,2019,2.35,1,4,60,90,8,Family,Strategy
Vinhos: Deluxe Edition,7.47,8.11,6416,98.99,2016,4.02,1,4,60,135,14,Strategy,N/A
Clank! In! Space!: A Deck-Building Adventure,7.47,7.8,13613,57.30,2017,2.56,2,4,45,90,12,Family,Strategy
Pandemic: Iberia,7.464,7.89,10288,44.94,2016,2.57,2,5,45,45,8,Strategy,N/A
Hansa Teutonica,7.464,7.73,14887,49.42,2009,3.10,2,5,45,90,12,Strategy,N/A
The Quest for El Dorado,7.464,7.66,22739,39.99,2017,1.93,2,4,30,60,10,Family,N/A
Codenames,7.461,7.55,87251,12.39,2015,1.27,2,8,15,15,14,Party,N/A
Dwellings of Eldervale,7.459,8.2,5893,N/A,2020,3.26,1,5,60,150,14,Strategy,N/A
Yokohama,7.459,7.82,11299,60.78,2016,3.31,2,4,90,90,14,Strategy,N/A
Forbidden Stars,7.458,7.98,8963,N/A,2015,3.84,2,4,120,180,14,Strategy,N/A
Champions of Midgard,7.458,7.73,16922,63.15,2015,2.60,2,4,60,90,10,Strategy,N/A
Roll for the Galaxy,7.453,7.6,31011,42.53,2014,2.77,2,5,45,45,13,Strategy,N/A
PARKS,7.449,7.69,22561,49.99,2019,2.14,1,5,30,60,10,Family,N/A
Cartographers,7.448,7.63,26616,21.99,2019,1.88,1,100,30,45,10,Family,N/A
Pandemic,7.44,7.55,121254,34.04,2008,2.40,2,4,45,45,8,Family,Strategy
Res Arcana,7.435,7.67,20309,26.99,2019,2.63,2,4,30,60,12,Strategy,N/A
Targi,7.43,7.62,22174,19.85,2012,2.34,2,2,60,60,12,Strategy,N/A
Alchemists,7.426,7.65,22107,59.95,2014,3.93,2,4,120,120,13,Strategy,N/A
Rajas of the Ganges,7.425,7.73,13366,41.99,2017,2.89,2,4,45,75,12,Strategy,N/A
Kemet,7.424,7.66,18781,N/A,2012,3.00,2,5,90,120,13,Strategy,N/A
Watergate,7.423,7.79,10880,28.99,2019,2.26,2,2,30,60,12,Strategy,N/A
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.423,7.65,20683,55.91,1982,2.68,1,8,60,120,13,Thematic,N/A
Star Realms,7.422,7.56,43371,15.95,2014,1.93,2,2,20,20,12,Strategy,N/A
Praga Caput Regni,7.422,7.94,7868,59.99,2020,3.74,1,4,45,150,12,Strategy,N/A
It's a Wonderful World,7.42,7.7,16783,44.77,2019,2.31,1,5,30,60,14,Strategy,N/A
Endeavor: Age of Sail,7.42,7.91,8940,127.93,2018,2.84,2,5,60,90,13,Strategy,N/A
Just One,7.42,7.59,24601,16.61,2018,1.04,3,7,20,60,8,Party,N/A
Hadrian's Wall,7.413,8.04,6483,60.00,2021,3.11,1,6,30,60,12,Strategy,N/A
Stone Age,7.412,7.53,51469,49.95,2008,2.46,2,4,60,90,10,Family,Strategy
Legendary Encounters: An Alien Deck Building Game,7.411,7.76,12980,N/A,2014,2.70,1,5,30,60,17,Thematic,N/A
Ticket to Ride: Europe,7.409,7.53,72703,28.79,2005,1.92,2,5,30,60,8,Family,N/A
Ra,7.408,7.58,23513,49.49,1999,2.34,2,5,45,60,12,Strategy,N/A
Terraforming Mars: Ares Expedition,7.405,7.7,15176,27.99,2021,2.91,1,4,45,60,14,Strategy,N/A
SCOUT,7.401,7.8,9978,42.95,2019,1.37,2,5,15,15,9,Family,N/A
The Lord of the Rings: The Card Game,7.401,7.66,23742,39.99,2011,3.21,1,2,30,60,13,Customizable,N/A
Star Wars: X-Wing Miniatures Game,7.4,7.64,24729,64.44,2012,2.49,2,2,30,45,14,Customizable,Wargames
Marco Polo II: In the Service of the Khan,7.398,7.99,6761,N/A,2019,3.38,2,4,60,120,12,Strategy,N/A
Viscounts of the West Kingdom,7.397,7.87,8837,39.99,2020,3.46,1,4,60,90,12,Strategy,N/A
Magic: The Gathering,7.397,7.57,38476,77.99,1993,3.25,2,2,20,20,13,Customizable,N/A
Glen More II: Chronicles,7.395,7.92,7545,84.99,2019,3.03,2,4,90,120,12,Strategy,N/A
Istanbul,7.395,7.55,30435,65.00,2014,2.58,2,5,40,60,10,Family,Strategy
That's Pretty Clever!,7.392,7.58,22842,20.99,2018,1.88,1,4,30,30,8,Family,N/A
Welcome To...,7.392,7.55,28942,34.95,2018,1.84,1,100,25,25,10,Family,N/A
Xia: Legends of a Drift System,7.392,7.87,9592,N/A,2014,3.19,3,5,60,180,12,Strategy,Thematic
Tyrants of the Underdark,7.392,7.91,8333,37.75,2016,2.55,2,4,60,60,14,Strategy,N/A
Undaunted: Normandy,7.389,7.81,10441,38.38,2019,2.25,2,2,45,60,14,Wargames,N/A
War Chest,7.38,7.87,8948,46.31,2018,2.30,2,4,30,30,14,Abstract,N/A
Jaipur,7.377,7.49,48949,17.95,2009,1.47,2,2,30,30,12,Family,N/A
Chaos in the Old World,7.376,7.67,15450,N/A,2009,3.20,3,4,60,120,13,Strategy,Thematic
War of the Ring,7.372,7.77,10572,78.91,2004,3.84,2,4,120,120,12,Thematic,Wargames
Radlands,7.368,7.91,8205,30.99,2021,2.26,2,2,20,40,14,Strategy,N/A
Descent: Journeys in the Dark (Second Edition),7.361,7.63,24962,199.95,2012,3.21,1,5,120,120,14,Thematic,N/A
Dominion (Second Edition),7.36,7.85,8968,36.29,2016,2.17,2,4,30,30,14,Strategy,N/A
This War of Mine: The Board Game,7.359,7.78,12393,64.77,2017,3.30,1,6,45,120,18,Thematic,N/A
Azul: Summer Pavilion,7.358,7.66,14402,35.61,2019,2.05,2,4,30,45,8,Abstract,Family
Splendor Duel,7.357,7.99,6494,29.99,2022,1.98,2,2,30,30,10,Family,Strategy
Memoir '44,7.355,7.54,29442,N/A,2004,2.28,2,8,30,60,8,Wargames,N/A
Unmatched: Cobble & Fog,7.351,8.02,6281,38.95,2020,1.97,2,4,20,40,9,Strategy,N/A
Oathsworn: Into the Deepwood,7.35,9.09,3010,649.99,2022,3.56,1,4,30,90,14,Thematic,N/A
Horrified,7.349,7.67,14851,39.99,2019,2.05,1,5,60,60,10,Family,Thematic
Cosmic Encounter,7.347,7.53,32010,55.99,2008,2.58,3,5,60,120,12,Strategy,Thematic
Railways of the World,7.346,7.67,12085,149.99,2005,3.02,2,6,120,120,10,Strategy,N/A
Nemesis: Lockdown,7.343,8.4,4221,152.99,2022,3.89,1,5,90,180,12,Thematic,N/A
The Resistance: Avalon,7.341,7.53,32338,N/A,2012,1.74,5,10,30,30,13,Party,N/A
Castles of Mad King Ludwig,7.341,7.52,25012,N/A,2014,2.65,1,4,90,90,13,Strategy,N/A
Sagrada,7.34,7.48,38507,44.56,2017,1.92,1,4,30,45,14,Abstract,Family
Too Many Bones: Undertow,7.337,8.7,2999,139.99,2018,4.01,1,2,60,180,12,Strategy,Thematic
Sekigahara: The Unification of Japan,7.336,8.0,5629,61.04,2011,2.79,2,2,180,180,14,Wargames,N/A
Ora et Labora,7.334,7.69,10783,69.99,2011,3.89,1,4,60,180,13,Strategy,N/A
Final Girl,7.334,8.38,4277,20.36,2021,2.58,1,1,20,60,14,Thematic,N/A
Dune,7.334,7.96,7654,49.87,2019,3.99,2,6,120,180,14,Strategy,Thematic
A Game of Thrones: The Board Game (Second Edition),7.33,7.54,33480,40.99,2011,3.72,3,6,120,240,14,Strategy,N/A
The Red Cathedral,7.328,7.74,10243,39.99,2020,2.82,1,4,80,80,10,Strategy,N/A
Ticket to Ride: Nordic Countries,7.328,7.63,13678,89.99,2007,1.98,2,3,30,60,8,Family,N/A
Dead of Winter: A Crossroads Game,7.323,7.48,45262,37.99,2014,3.01,2,5,60,120,13,Thematic,N/A
Suburbia,7.321,7.48,24692,69.95,2012,2.77,1,4,60,90,8,Strategy,N/A
Commands & Colors: Ancients,7.321,7.77,8688,49.99,2006,2.69,2,2,60,60,12,Wargames,N/A
Star Wars: Outer Rim,7.318,7.73,11315,59.99,2019,2.52,1,4,120,180,14,Thematic,N/A
Space Base,7.318,7.55,17391,36.01,2018,2.12,2,5,60,60,14,Family,N/A
Captain Sonar,7.317,7.53,20433,65.80,2016,2.18,2,8,45,60,14,Party,Thematic
Earth,7.315,7.78,9064,52.00,2023,2.87,1,5,45,90,13,Strategy,N/A
Village,7.314,7.5,22838,159.99,2011,3.07,2,4,60,90,12,Strategy,N/A
Go,7.313,7.65,16805,30.99,-2200,3.93,2,2,30,180,8,Abstract,N/A
Meadow,7.309,7.78,8651,45.70,2021,2.23,1,4,60,90,10,Family,Strategy
Paleo,7.306,7.72,10540,63.99,2020,2.62,1,4,45,60,10,Strategy,Thematic
Wingspan Asia,7.305,8.36,3723,29.99,2022,2.62,1,2,40,70,10,Family,Strategy
Splendor,7.303,7.42,76466,22.61,2014,1.78,2,4,30,30,10,Family,N/A
Star Realms: Colony Wars,7.301,7.81,7856,16.95,2015,1.90,2,2,20,20,12,Strategy,N/A
Tichu,7.3,7.58,15158,12.43,1991,2.34,4,4,60,60,10,Strategy,N/A
Coimbra,7.299,7.63,11459,49.65,2018,3.25,2,4,60,90,14,Strategy,N/A
Welcome to the Moon,7.299,8.02,5190,30.49,2021,2.51,1,6,25,30,10,Family,Thematic
Carcassonne,7.298,7.41,122058,22.67,2000,1.90,2,5,30,45,7,Family,N/A
Combat Commander: Europe,7.298,7.95,5861,179.95,2006,3.25,2,2,60,180,12,Wargames,N/A
Dinosaur Island,7.298,7.59,15560,54.21,2017,3.04,1,4,90,120,8,Strategy,N/A
Modern Art,7.297,7.49,21317,N/A,1992,2.29,3,5,45,45,10,Strategy,N/A
Near and Far,7.297,7.7,10000,59.22,2017,2.89,2,4,90,120,13,Thematic,N/A
Under Falling Skies,7.297,7.7,9952,29.99,2020,2.39,1,1,20,40,12,Strategy,N/A
Nations,7.295,7.61,12121,117.95,2013,3.55,1,5,40,200,14,Strategy,N/A
Nidavellir,7.294,7.62,12157,39.99,2020,2.10,2,5,45,45,10,Strategy,N/A
Calico,7.293,7.57,16637,N/A,2020,2.18,1,4,30,45,10,Abstract,Family
Paths of Glory,7.293,8.05,5090,54.99,1999,3.85,2,2,480,480,14,Wargames,N/A
Ankh: Gods of Egypt,7.293,7.84,8031,65.30,2021,3.09,2,5,90,90,14,Strategy,N/A
My City,7.286,7.68,9468,27.48,2020,1.99,2,4,30,30,10,Family,Strategy
YINSH,7.286,7.71,8735,35.40,2003,2.66,2,2,30,60,9,Abstract,N/A
Ticket to Ride,7.281,7.4,86143,28.42,2004,1.83,2,5,30,60,8,Family,N/A
Cyclades,7.28,7.51,20969,70.83,2009,2.82,2,5,60,90,13,Strategy,N/A
Wonderland's War,7.278,8.14,4726,275.00,2022,3.01,2,5,45,125,13,Strategy,N/A
Planet Unknown,7.275,7.96,5451,N/A,2022,2.22,1,6,60,80,10,Strategy,N/A
Codenames: Duet,7.275,7.46,21594,24.95,2017,1.37,2,2,15,30,11,Family,N/A
La Granja,7.274,7.61,10758,N/A,2014,3.57,1,4,90,120,12,Strategy,N/A
Aeon's End: Legacy,7.271,8.07,4725,92.89,2019,2.86,1,4,45,90,14,Strategy,Thematic
Revive,7.27,8.19,4066,N/A,2022,3.41,1,4,90,120,14,Strategy,N/A
Secret Hitler,7.268,7.51,26619,40.00,2016,1.74,5,10,45,45,13,Party,N/A
Legendary: A Marvel Deck Building Game,7.264,7.54,22224,59.98,2012,2.43,1,5,30,60,14,Thematic,N/A
The Taverns of Tiefenthal,7.263,7.58,12903,62.94,2019,2.67,2,4,60,60,12,Family,Strategy
Deception: Murder in Hong Kong,7.261,7.46,21517,31.89,2014,1.58,4,12,20,20,14,Party,N/A
Century: Golem Edition,7.26,7.61,11501,39.99,2017,1.68,2,5,30,45,8,Family,Strategy
MicroMacro: Crime City,7.259,7.53,14099,59.97,2020,1.11,1,4,15,45,12,Family,N/A
Hanamikoji,7.259,7.5,16974,N/A,2013,1.69,2,2,15,15,10,Family,N/A
Clank!: Catacombs,7.258,8.34,3410,50.94,2022,2.51,2,4,45,90,13,Family,Strategy
Zombicide: Black Plague,7.257,7.63,15654,87.99,2015,2.49,1,6,60,180,14,Thematic,N/A
Roll Player,7.253,7.46,19537,49.86,2016,2.43,1,4,60,90,10,Strategy,N/A
Darwin's Journey,7.253,8.22,3929,N/A,2023,3.85,1,4,60,120,14,Strategy,N/A
Kanban: Driver's Edition,7.25,7.79,6714,N/A,2014,4.37,2,4,90,120,12,Strategy,N/A
The Princes of Florence,7.249,7.51,15295,65.00,2000,3.24,2,5,75,100,12,Strategy,N/A
Sushi Go Party!,7.249,7.4,32738,19.98,2016,1.31,2,8,20,20,8,Family,N/A
Flamme Rouge,7.248,7.5,17146,62.99,2016,1.68,2,4,30,45,8,Family,N/A
Detective: A Modern Crime Board Game,7.247,7.69,10133,27.43,2018,2.75,1,5,120,180,16,Thematic,N/A
"Unmatched: Battle of Legends, Volume One",7.244,7.76,8029,N/A,2019,1.93,2,4,20,40,9,Strategy,N/A
Fantasy Realms,7.243,7.53,13721,24.84,2017,1.80,2,6,20,20,14,Family,N/A
Goa: A New Expedition,7.242,7.56,11406,N/A,2004,3.37,2,4,90,90,12,Strategy,N/A
Santorini,7.24,7.38,37228,N/A,2016,1.73,2,4,20,20,8,Abstract,N/A
Chronicles of Crime,7.24,7.61,21446,N/A,2018,2.06,1,4,60,90,12,Thematic,N/A
Isle of Skye: From Chieftain to King,7.238,7.4,24673,33.49,2015,2.25,2,5,30,50,8,Family,Strategy
KLASK,7.237,7.63,9326,59.99,2014,1.06,2,2,10,10,8,Family,Party
Glory to Rome,7.234,7.49,14033,N/A,2005,2.93,2,5,60,60,12,Strategy,N/A
Pulsar 2849,7.233,7.67,8436,54.00,2017,3.35,2,4,60,90,14,Strategy,N/A
Hero Realms,7.232,7.53,17135,22.50,2016,1.86,2,4,20,20,12,Strategy,N/A
1830: Railways & Robber Barons,7.231,7.86,5485,80.07,1986,4.16,2,7,180,360,14,Strategy,N/A
Hallertau,7.231,7.92,5162,86.86,2020,3.30,1,4,50,140,12,Strategy,N/A
Shogun,7.229,7.52,13789,132.86,2006,3.36,3,5,90,120,12,Strategy,N/A
Camel Up (Second Edition),7.226,7.59,10828,N/A,2018,1.46,3,8,30,45,8,Family,Party
Samurai,7.226,7.46,16056,N/A,1998,2.48,2,4,30,60,10,Strategy,N/A
Galaxy Trucker,7.225,7.35,33490,N/A,2007,2.33,2,4,60,60,10,Thematic,N/A
1960: The Making of the President,7.222,7.62,9217,89.00,2007,3.20,2,2,90,120,12,Strategy,N/A
Steam,7.219,7.56,10115,29.99,2009,3.46,3,5,90,90,10,Strategy,N/A
Viticulture,7.218,7.51,13190,48.62,2013,2.93,2,6,90,90,13,Strategy,N/A
Vindication,7.218,7.8,6721,149.99,2018,3.08,2,5,45,150,14,Strategy,N/A
T.I.M.E Stories,7.218,7.41,27106,47.99,2015,2.59,2,4,90,90,12,Thematic,N/A
Clash of Cultures: Monumental Edition,7.218,8.39,3190,103.95,2021,3.65,2,4,180,240,14,Strategy,N/A
Western Legends,7.215,7.61,10441,169.00,2018,2.83,2,6,60,90,14,Thematic,N/A
Tapestry,7.214,7.45,19008,70.97,2019,2.93,1,5,90,120,12,Strategy,N/A
Endless Winter: Paleoamericans,7.213,7.81,6633,369.99,2022,3.28,1,4,60,120,12,Strategy,N/A
Lewis & Clark: The Expedition,7.211,7.45,15223,N/A,2013,3.33,1,5,120,120,14,Strategy,N/A
7 Wonders (Second Edition),7.208,7.87,6078,40.00,2020,2.29,3,7,30,30,10,Family,Strategy
Bora Bora,7.204,7.56,10073,N/A,2013,3.73,2,4,60,120,12,Strategy,N/A
Kingdomino,7.199,7.32,45012,15.39,2016,1.22,2,4,15,25,8,Family,N/A
